item_id,order_id,product_id,quantity,unit_price,discount_percent
I001,O344,P204,3,22727.39,40
I002,O474,P281,8,26106.5,25
I003,O023,P263,7,27144.48,15
I004,O091,P491,8,10253.67,50
I005,O155,P393,7,18134.79,0
I006,O015,P084,6,32763.05,0
I007,O218,P433,6,12496.16,0
I008,O344,P051,4,35127.2,30
I009,O334,P225,4,9961.5,15
I010,O223,P208,1,44788.93,30
I011,O363,P089,10,25704.25,25
I012,O244,P061,7,26956.62,20
I013,O152,P025,5,14697.69,15
I014,O494,P497,10,19522.51,30
I015,O428,P318,6,8324.93,20
I016,O275,P165,3,31914.81,15
I017,O173,P080,7,23404.84,40
I018,O378,P198,4,9292.9,40
I019,O221,P339,7,42993.57,30
I020,O096,P415,1,44674.79,50
I021,O039,P321,5,28233.07,50
I022,O412,P440,8,16190.83,0
I023,O186,P216,6,36743.11,0
I024,O241,P241,3,46407.72,25
I025,O024,P132,10,20224.35,15
I026,O332,P232,8,28435.2,15
I027,O138,P314,8,43864.6,40
I028,O331,P377,1,48886.93,40
I029,O088,P017,4,25787.26,0
I030,O322,P042,-1,17991.24,0
I031,O440,P094,10,1636.6,50
I032,O140,P071,1,33835.58,30
I033,O430,P042,-2,45519.45,0
I034,O481,P204,3,45380.03,25
I035,O364,P290,4,7082.16,25
I036,O291,P431,9,49697.3,50
I037,O327,P161,5,35153.23,40
I038,O472,P233,1,27189.66,50
I039,O424,P493,9,41069.01,30
I040,O426,P418,8,40046.55,40
I041,O048,P476,5,29765.52,0
I042,O477,P290,2,23711.07,40
I043,O178,P133,8,47337.48,50
I044,O117,P313,8,31593.69,30
I045,O094,P435,9,27258.66,5
I046,O183,P252,3,5030.26,40
I047,O335,P165,9,39322.27,25
I048,O056,P404,3,34725.98,20
I049,O064,P211,9,44023.73,25
I050,O292,P334,9,23277.9,50
I051,O055,P102,10,28204.12,30
I052,O088,P331,9,291.67,40
I053,O218,P308,7,49324.43,15
I054,O328,P468,2,4521.5,10
I055,O126,P499,7,18172.93,40
I056,O023,P050,2,34092.8,25
I057,O079,P391,6,33365.24,0
I058,O070,P272,10,33192.75,0
I059,O350,P411,2,48414.63,25
I060,O070,P426,3,9766.59,25
I061,O091,P308,6,36358.6,10
I062,O393,P401,10,14689.42,15
I063,O207,P382,1,32184.26,30
I064,O017,P002,1,24086.23,10
I065,O303,P010,9,47544.95,40
I066,O323,P393,7,6287.91,10
I067,O483,P316,7,26045.35,30
I068,O403,P282,7,15718.76,5
I069,O054,P156,1,27725.74,30
I070,O348,P334,3,46922.25,15
I071,O022,P171,7,11432.21,20
I072,O168,P119,10,13232.39,50
