order_id,customer_id,order_date,status,region_code
O001,C280,2024-12-10 00:00:00,SHIPPED,SOUTH
O002,C010,2024-09-09 00:00:00,DELIVERED,EAST
O003,C067,2024-12-20 00:00:00,DELIVERED,EAST
O004,C035,2025-10-15 00:00:00,RETURNED,EAST
O005,C350,2025-08-03 00:00:00,SHIPPED,SOUTH
O006,C263,2025-11-08 00:00:00,DELIVERED,SOUTH
O007,C284,2024-07-06 00:00:00,CANCELLED,SOUTH
O008,C460,2025-10-27 00:00:00,DELIVERED,WEST
O009,C208,2024-05-26 00:00:00,DELIVERED,NORTH
O010,C393,2025-04-04 00:00:00,PLACED,WEST
O011,C081,2025-04-23 00:00:00,RETURNED,WEST
O012,,2024-06-13 00:00:00,SHIPPED,NORTH
O013,C239,2024-07-01 00:00:00,SHIPPED,NORTH
O014,C181,2025-04-17 00:00:00,DELIVERED,SOUTH
O015,C187,2025-02-03 00:00:00,SHIPPED,EAST
O016,C209,2024-03-01 00:00:00,DELIVERED,SOUTH
O017,C210,2025-07-08 00:00:00,SHIPPED,EAST
O018,C243,2024-10-18 00:00:00,PLACED,SOUTH
O019,C317,2024-03-25 00:00:00,SHIPPED,SOUTH
O020,C070,2025-02-15 00:00:00,DELIVERED,NORTH
O021,C232,2024-07-30 00:00:00,RETURNED,SOUTH
O022,C488,2024-11-13 00:00:00,DELIVERED,SOUTH
O023,C295,2024-10-20 00:00:00,RETURNED,WEST
O024,C358,24-11-2025,CANCELLED,NORTH
O025,C110,2024-03-08 00:00:00,SHIPPED,NORTH
O026,C399,2024-05-30 00:00:00,DELIVERED,NORTH
O027,C494,2025-04-04 00:00:00,CANCELLED,NORTH
O028,C153,2024-02-28 00:00:00,RETURNED,NORTH
O029,C291,2024-08-18 00:00:00,DELIVERED,NORTH
O030,C337,2025-08-20 00:00:00,SHIPPED,SOUTH
O031,C156,2024-11-30 00:00:00,RETURNED,WEST
O032,C050,2024-09-19 00:00:00,SHIPPED,EAST
O033,C180,2025-08-16 00:00:00,PLACED,EAST
O034,C475,2025-09-03 00:00:00,SHIPPED,EAST
O035,C113,2024-02-18 00:00:00,CANCELLED,SOUTH
O036,C245,2024-08-29 00:00:00,CANCELLED,NORTH
O037,C193,2024-06-28 00:00:00,SHIPPED,NORTH
O038,C347,2025-04-22 00:00:00,CANCELLED,SOUTH
O039,C492,2025-05-22 00:00:00,PLACED,EAST
O040,C409,2025-10-21 00:00:00,DELIVERED,SOUTH
O041,C102,2024-11-06 00:00:00,RETURNED,NORTH
O042,C040,2025-04-05 00:00:00,DELIVERED,NORTH
O043,C490,2025-02-16 00:00:00,RETURNED,WEST
O044,C432,2025-10-27 00:00:00,DELIVERED,SOUTH
O045,C062,2025-12-25 00:00:00,SHIPPED,EAST
O046,C439,2025-01-19 00:00:00,RETURNED,WEST
O047,C163,2025-10-02 00:00:00,SHIPPED,NORTH
O048,C260,2025-06-13 00:00:00,CANCELLED,SOUTH
O049,C075,2024-04-18 00:00:00,SHIPPED,WEST
O050,C498,2024-12-25 00:00:00,SHIPPED,SOUTH
O051,C461,2024-01-31 00:00:00,CANCELLED,EAST
O052,C472,2025-12-05 00:00:00,SHIPPED,NORTH
O053,C286,2024-06-20 00:00:00,PLACED,NORTH
O054,C467,2024-11-08 00:00:00,DELIVERED,WEST
O055,C396,2024-08-17 00:00:00,SHIPPED,SOUTH
O056,C119,2025-01-08 00:00:00,SHIPPED,NORTH
