order_id,customer_id,order_date,status,region_code
O001,C280,2024-12-10,SHIPPED,SOUTH
O002,C010,2024-09-09,DELIVERED,EAST
O003,C067,2024-12-20,DELIVERED,EAST
O004,C035,2025-10-15,RETURNED,EAST
O005,C350,2025-08-03,SHIPPED,SOUTH
O006,C263,2025-11-08,DELIVERED,SOUTH
O007,C284,2024-07-06,CANCELLED,SOUTH
O008,C460,2025-10-27,DELIVERED,WEST
O009,C208,2024-05-26,DELIVERED,NORTH
O010,C393,2025-04-04,PLACED,WEST
O011,C081,2025-04-23,RETURNED,WEST
O012,UNKNOWN,2024-06-13,SHIPPED,NORTH
O013,C239,2024-07-01,SHIPPED,NORTH
O014,C181,2025-04-17,DELIVERED,SOUTH
O015,C187,2025-02-03,SHIPPED,EAST
O016,C209,2024-03-01,DELIVERED,SOUTH
O017,C210,2025-07-08,SHIPPED,EAST
O018,C243,2024-10-18,PLACED,SOUTH
O019,C317,2024-03-25,SHIPPED,SOUTH
O020,C070,2025-02-15,DELIVERED,NORTH
O021,C232,2024-07-30,RETURNED,SOUTH
O022,C488,2024-11-13,DELIVERED,SOUTH
O023,C295,2024-10-20,RETURNED,WEST
O024,C358,2025-11-24,CANCELLED,NORTH
O025,C110,2024-03-08,SHIPPED,NORTH
O026,C399,2024-05-30,DELIVERED,NORTH
O027,C494,2025-04-04,CANCELLED,NORTH
O028,C153,2024-02-28,RETURNED,NORTH
O029,C291,2024-08-18,DELIVERED,NORTH
O030,C337,2025-08-20,SHIPPED,SOUTH
O031,C156,2024-11-30,RETURNED,WEST
O032,C050,2024-09-19,SHIPPED,EAST
O033,C180,2025-08-16,PLACED,EAST
O034,C475,2025-09-03,SHIPPED,EAST
O035,C113,2024-02-18,CANCELLED,SOUTH
O036,C245,2024-08-29,CANCELLED,NORTH
O037,C193,2024-06-28,SHIPPED,NORTH
O038,C347,2025-04-22,CANCELLED,SOUTH
O039,C492,2025-05-22,PLACED,EAST
O040,C409,2025-10-21,DELIVERED,SOUTH
O041,C102,2024-11-06,RETURNED,NORTH
O042,C040,2025-04-05,DELIVERED,NORTH
O043,C490,2025-02-16,RETURNED,WEST
O044,C432,2025-10-27,DELIVERED,SOUTH
O045,C062,2025-12-25,SHIPPED,EAST
O046,C439,2025-01-19,RETURNED,WEST
O047,C163,2025-10-02,SHIPPED,NORTH
O048,C260,2025-06-13,CANCELLED,SOUTH
O049,C075,2024-04-18,SHIPPED,WEST
O050,C498,2024-12-25,SHIPPED,SOUTH
O051,C461,2024-01-31,CANCELLED,EAST
O052,C472,2025-12-05,SHIPPED,NORTH
O053,C286,2024-06-20,PLACED,NORTH
O054,C467,2024-11-08,DELIVERED,WEST
O055,C396,2024-08-17,SHIPPED,SOUTH
O056,C119,2025-01-08,SHIPPED,NORTH
O057,C067,2025-10-15,RETURNED,EAST
O058,C195,2025-08-06,DELIVERED,WEST
O059,C352,2025-02-14,PLACED,WEST
O060,C033,2024-04-04,DELIVERED,SOUTH
O061,C291,2024-01-02,PLACED,SOUTH
O062,C463,2025-11-23,SHIPPED,SOUTH
O063,C116,2025-08-20,SHIPPED,EAST
O064,C064,2024-02-24,PLACED,WEST
O065,C238,2025-04-17,PLACED,WEST
O066,C073,2025-03-24,SHIPPED,EAST
O067,C456,2024-11-27,RETURNED,SOUTH
O068,C368,2025-12-03,DELIVERED,SOUTH
O069,C049,2024-11-04,DELIVERED,NORTH
O070,C388,2025-07-09,PLACED,EAST
O071,C380,2025-03-06,CANCELLED,EAST
O072,C457,2025-10-31,RETURNED,SOUTH
O073,C077,2025-04-30,PLACED,EAST
O074,C256,2025-01-03,CANCELLED,SOUTH
O075,C247,2024-06-04,DELIVERED,EAST
O076,C171,2025-01-23,CANCELLED,EAST
O077,C436,2025-05-03,SHIPPED,SOUTH
O078,C186,2024-10-12,CANCELLED,WEST
O079,C324,2025-04-08,CANCELLED,NORTH
O080,C077,2024-09-08,SHIPPED,NORTH
O081,C238,2025-05-11,SHIPPED,WEST
O082,C251,2025-04-10,DELIVERED,EAST
O083,C490,2025-09-28,CANCELLED,EAST
O084,C106,2024-06-30,PLACED,EAST
O085,C218,2024-06-19,CANCELLED,SOUTH
O086,UNKNOWN,2024-06-07,PLACED,SOUTH
O087,C328,2025-05-07,CANCELLED,EAST
O088,C123,2025-02-05,DELIVERED,WEST
O089,UNKNOWN,2025-09-15,RETURNED,SOUTH
O090,C103,2024-12-19,SHIPPED,NORTH
O091,C263,2024-05-21,PLACED,EAST
O092,C368,2025-08-11,PLACED,NORTH
O093,C357,2025-08-18,DELIVERED,SOUTH
O094,C007,2025-06-15,DELIVERED,EAST
O095,C320,2024-04-07,RETURNED,WEST
O096,C438,2025-03-25,SHIPPED,EAST
O097,C125,2024-05-08,CANCELLED,SOUTH
O098,C398,2024-07-07,SHIPPED,NORTH
O099,C331,2025-06-09,DELIVERED,NORTH
O100,C322,2025-01-17,SHIPPED,EAST
O101,C034,2024-05-29,CANCELLED,EAST
O102,C403,2025-07-21,SHIPPED,EAST
O103,C352,2025-11-19,PLACED,SOUTH
O104,C456,2024-12-09,CANCELLED,EAST
O105,C393,2025-10-23,DELIVERED,NORTH
O106,C282,2025-08-05,CANCELLED,SOUTH
O107,C440,2025-02-12,CANCELLED,WEST
