product_id,product_name,category,price
P001,Jacket,Clothing,38774.08
P002,Jeans,Clothing,39445.14
P003,Cupboard,Home,17520.45
P004,Camera,Electronics,20780.75
P005,Printer,Electronics,15197.37
P006,Ai Book,Books,46127.54
P007,Java Book,Books,20641.36
P008,Curtain,Home,44582.64
P009,Jeans,Clothing,33890.43
P010,Java Book,Books,25935.6
P011,Java Book,Books,14642.43
P012,Camera,Electronics,21303.43
P013,Sofa,Home,37797.89
P014,Jeans,Clothing,29188.68
P015,Jeans,Clothing,43223.12
P016,Fan,Home,38658.98
P017,Laptop,Electronics,34584.84
P018,Chair,Home,45238.97
P019,Bed,Home,38920.64
P020,Shirt,Clothing,11840.39
P021,Fan,Home,9427.89
P022,Sofa,Home,41514.03
P023,Bed,Home,4385.03
P024,Curtain,Home,46842.92
P025,Cupboard,Home,10422.29
P026,Curtain,Home,31019.78
P027,C Programming Book,Books,19327.47
P028,Mouse,Electronics,22866.75
P029,Fan,Home,3481.27
P030,Bed,Home,37059.28
P031,Mouse,Electronics,44433.85
P032,Keyboard,Electronics,48351.32
P033,Sweater,Clothing,17114.51
P034,Curtain,Home,20864.57
P035,Bed,Home,26916.64
P036,Sofa,Home,45927.85
P037,Shoes,Clothing,20292.63
P038,Sweater,Clothing,13538.66
P039,Java Book,Books,47394.9
P040,Cap,Clothing,40308.26
P041,C Programming Book,Books,24452.77
P042,Jacket,Clothing,1384.33
P043,Data Science Book,Books,35434.37
P044,Sweater,Clothing,48217.52
P045,Sql Book,Books,29079.33
P046,Printer,Electronics,2137.17
P047,Sofa,Home,48343.68
P048,Curtain,Home,19736.55
P049,Java Book,Books,43032.75
P050,Java Book,Books,37659.06
P051,Python Book,Books,30057.05
P052,Cupboard,Home,47770.7
P053,Data Science Book,Books,44120.17
P054,Ai Book,Books,48404.61
P055,Bed,Home,27440.74
P056,Laptop,Electronics,43870.03
P057,Jeans,Clothing,16394.6
P058,T-Shirt,Clothing,7203.78
P059,Keyboard,Electronics,20147.34
P060,Sofa,Home,23207.36
P061,Java Book,Books,14576.91
P062,Ai Book,Books,27228.03
P063,Ai Book,Books,7860.41
P064,Camera,Electronics,43154.49
P065,C Programming Book,Books,43812.52
P066,Speaker,Electronics,11020.82
P067,Laptop,Electronics,610.8
P068,Cap,Clothing,30200.31
P069,Ai Book,Books,29739.69
P070,Fan,Home,44915.33
P071,C Programming Book,Books,7319.17
P072,Laptop,Electronics,48654.3
P073,Jacket,Clothing,34266.9
P074,Shoes,Clothing,42410.7
P075,Fan,Home,21275.14
P076,Sweater,Clothing,10556.61
P077,Sql Book,Books,37003.65
P078,Jeans,Clothing,19443.81
P079,Fan,Home,6242.99
P080,Python Book,Books,31638.59
P081,Shoes,Clothing,33700.31
P082,Bed,Home,13049.41
P083,Fan,Home,28372.08
P084,Shoes,Clothing,36741.15
P085,Camera,Electronics,28379.84
P086,Jacket,Clothing,14678.75
P087,Jeans,Clothing,36420.37
P088,Sql Book,Books,41004.03
P089,Shoes,Clothing,44522.84
P090,Speaker,Electronics,5868.5
P091,Shoes,Clothing,17679.65
P092,Cap,Clothing,15385.7
P093,Ai Book,Books,13781.92
P094,Chair,Home,46320.71
P095,Python Book,Books,7793.27
P096,Cupboard,Home,9055.63
P097,Sofa,Home,43077.69
P098,Cap,Clothing,48371.15
P099,Sql Book,Books,23102.95
P100,Camera,Electronics,45272.48
P101,Printer,Electronics,49795.38
P102,Python Book,Books,2587.69
P103,Cupboard,Home,16381.54
P104,Cap,Clothing,40007.94
P105,Bed,Home,39989.44
P106,Cupboard,Home,32608.67
P107,Sql Book,Books,48389.16
P108,Chair,Home,15567.54
P109,Jacket,Clothing,41073.65
P110,Sql Book,Books,26693.27
P111,Python Book,Books,35844.93
P112,Chair,Home,48703.74
P113,Jacket,Clothing,40982.64
P114,Table,Home,34361.96
P115,C Programming Book,Books,22222.39
P116,Shoes,Clothing,23646.4
P117,Keyboard,Electronics,27761.22
P118,Camera,Electronics,43960.46
P119,Jeans,Clothing,45767.05
P120,Jeans,Clothing,20310.69
P121,Jeans,Clothing,12051.33
P122,Monitor,Electronics,48175.78
P123,Shirt,Clothing,16294.61
P124,Sofa,Home,28168.9
P125,Cupboard,Home,44799.89
P126,Shoes,Clothing,27643.92
P127,Shirt,Clothing,18194.02
P128,Sofa,Home,14921.28
P129,Sweater,Clothing,40417.24
P130,Jacket,Clothing,43748.3
P131,C Programming Book,Books,28747.46
P132,Python Book,Books,33166.04
P133,Java Book,Books,10286.97
P134,Jeans,Clothing,38359.02
P135,Curtain,Home,3476.37
