inventory_id,product_id,warehouse_id,batch_id,stock_quantity,reserved_quantity,damaged_quantity,last_restock_date,last_updated
I0,P1008,W104,B70,4984,23,3,2025-11-17,2025-09-15
I1,P1141,W105,B60,-10,164,7,2026-03-12,2026-02-26
I2,P1140,W100,B46,-10,192,36,2025-10-02,2025-05-10
I3,P1219,W108,B74,-10,116,34,2025-06-20,2025-05-19
I4,P1329,W106,B36,-10,186,22,2025-10-16,2025-11-19
I5,P1306,W102,B15,-10,189,35,2025-11-12,2025-05-02
I6,P1360,W104,B53,209,155,1,2026-02-24,2025-12-24
I7,P1495,W108,B99,3425,131,5,2025-10-14,2026-01-02
I8,P1115,W105,B29,-10,63,2,2025-05-21,2026-03-18
I9,P1207,W108,B21,-10,145,25,2025-07-28,2025-09-07
I10,P1043,W107,B47,-10,42,16,2025-12-24,2026-01-20
I11,P1137,W100,B6,-10,43,17,2025-09-06,2026-01-17
I12,P1277,W105,B50,3409,200,29,2025-07-14,2025-06-06
I13,P1247,W101,B81,4220,174,25,2025-10-13,2025-12-11
I14,P1157,W103,B77,1852,18,50,2025-12-29,2026-02-14
I15,P1167,W100,B77,3512,162,18,2025-08-14,2025-09-24
I16,P1295,W108,B28,-10,164,36,2026-01-09,2026-03-20
I17,P1364,W107,B25,-10,160,2,2025-07-29,2025-05-09
I18,P1065,W106,B5,1079,92,40,2025-07-10,2025-10-19
I19,P1389,W105,B84,-10,24,4,2026-02-01,2025-12-07
I20,P1302,W105,B94,509,64,23,2026-03-23,2025-07-25
I21,P1057,W105,B86,-10,90,16,2025-10-16,2025-10-04
I22,P1211,W102,B61,974,152,43,2025-10-03,2026-03-28
I23,P1095,W100,B37,3950,52,38,2026-02-18,2025-11-23
I24,P1398,W108,B56,-10,151,46,2025-05-17,2025-07-06
I25,P1067,W101,B83,-10,62,29,2025-11-19,2025-08-06
I26,P1472,W109,B70,4806,90,42,2025-10-29,2025-10-05
I27,P1448,W104,B36,-10,139,35,2025-09-17,2025-09-07
I28,P1039,W109,B90,-10,21,44,2026-02-01,2025-06-14
I29,P1078,W107,B76,797,167,38,2025-06-13,2025-10-12
I30,P1074,W106,B13,2604,72,30,2025-07-24,2026-02-10
I31,P1067,W106,B29,4266,118,45,2026-04-12,2026-03-15
I32,P1183,W107,B96,-10,179,8,2025-07-31,2025-07-15
I33,P1017,W107,B17,-10,30,5,2025-09-13,2025-08-04
I34,P1095,W102,B59,2342,161,21,2025-12-30,2026-02-23
I35,P1117,W100,B4,-10,68,15,2025-07-18,2025-12-20
I36,P1004,W105,B3,-10,111,18,2025-08-31,2025-06-07
I37,P1318,W105,B71,3190,2,49,2025-06-09,2025-05-10
I38,P1328,W100,B70,1497,6,0,2026-02-05,2025-05-30
I39,P1059,W103,B46,-10,50,38,2025-07-23,2025-09-16
I40,P1405,W102,B46,-10,98,33,2026-03-16,2025-07-23
I41,P1137,W103,B16,4594,143,37,2025-09-09,2025-04-26
I42,P1068,W103,B2,-10,90,39,2025-10-15,2025-06-04
I43,P1040,W109,B31,-10,72,11,2025-08-20,2025-06-11
I44,P1053,W101,B9,-10,64,48,2026-01-05,2025-05-06
I45,P1359,W105,B17,2260,65,7,2026-03-02,2025-07-11
I46,P1241,W101,B56,2438,41,3,2025-05-06,2025-12-30
I47,P1285,W106,B76,-10,56,24,2025-07-09,2025-12-17
I48,P1242,W100,B9,4597,10,48,2025-06-23,2025-09-17
I49,P1247,W104,B12,-10,148,31,2025-06-07,2025-11-14
