product_id,product_name,category,brand,cost_price,selling_price,currency,supplier_id,product_status,launch_date,expiry_date,weight,dimensions,reorder_level,last_updated
P1000,Central,Electronics>Mobile>Accessories,Dell,5025.76,31445.58,INR,S201,discontinued,2024-01-19,,3.28,35x30x10,181,2025-05-16
P1001,Both,Electronics>Mobile>Accessories,Nike,48427.45,16692.0,INR,S206,active,2024-08-12,,1.2,11x17x1,200,2026-01-25
P1002,Billion,Clothing>Men>Topwear,Nike,28744.78,19171.31,INR,S209,discontinued,2023-10-10,2026-07-20,0.84,15x13x6,83,2025-07-09
P1003,Professional,Grocery>Dairy>Milk,Nike,6453.17,16477.36,INR,S206,active,2024-06-30,,1.04,6x46x1,140,2025-11-30
P1004,Civil,Grocery>Dairy>Milk,,42871.9,357.89,INR,S209,discontinued,2023-08-23,,2.87,6x13x8,161,2025-11-01
P1005,Traditional,Electronics>Mobile>Accessories,Nike,26430.51,30800.77,INR,S201,inactive,2023-04-26,2027-02-19,2.79,47x33x3,55,2025-06-19
P1006,Fine,Electronics>Mobile>Accessories,Dell,5406.76,64634.42,INR,S201,inactive,2024-10-20,,3.83,30x33x3,84,2025-09-24
P1007,Turn,Clothing>Men>Topwear,Boat,8046.77,36926.81,INR,S205,active,2025-02-19,,2.91,33x22x3,81,2025-08-19
P1008,Car,Clothing>Men>Topwear,Boat,37684.11,45394.91,INR,S207,active,2024-06-07,,4.77,23x35x9,143,2026-01-15
P1009,Before,Clothing>Men>Topwear,Dell,16546.8,66365.5,INR,S205,discontinued,2024-06-13,2026-12-28,1.27,38x37x7,152,2025-09-07
P1010,Investment,Electronics>Mobile>Accessories,,13825.87,54314.03,INR,S203,active,2023-07-07,,4.12,42x11x3,166,2025-07-02
P1011,Ball,Clothing>Men>Topwear,Dell,19306.02,61563.99,INR,S209,active,2024-01-14,,2.38,24x27x9,40,2026-04-08
P1012,Us,Electronics>Mobile>Accessories,Nike,36527.56,17665.67,INR,S201,inactive,2024-06-19,2026-06-28,0.63,47x29x7,101,2025-07-27
P1013,Nation,Grocery>Dairy>Milk,Boat,41670.17,69207.23,INR,S208,active,2024-10-01,,4.21,14x31x3,119,2026-01-17
P1014,Ahead,Clothing>Men>Topwear,Nike,18297.0,35470.84,INR,S205,inactive,2023-07-10,,0.41,14x44x2,39,2026-03-14
P1015,Guess,Clothing>Men>Topwear,Boat,3257.78,50663.56,INR,S204,inactive,2025-02-12,,0.36,20x15x10,77,2025-05-11
P1016,Break,Grocery>Dairy>Milk,,16906.48,48292.38,INR,S203,active,2025-01-22,,1.86,28x26x4,75,2026-01-04
P1017,Major,Clothing>Men>Topwear,Boat,16037.52,52111.02,INR,S209,active,2025-02-28,,4.56,41x24x3,10,2025-10-01
P1018,Method,Clothing>Men>Topwear,Dell,17734.76,61180.19,INR,S203,inactive,2024-02-27,2027-02-01,2.82,48x18x2,182,2026-01-10
P1019,Member,Electronics>Mobile>Accessories,,42903.24,64166.19,INR,S202,discontinued,2024-05-21,,0.96,39x30x2,17,2025-08-21
P1020,Medical,Electronics>Mobile>Accessories,,42871.64,59534.01,INR,S205,inactive,2023-08-19,,3.96,49x27x3,160,2025-09-02
P1021,Serve,Clothing>Men>Topwear,Nike,3480.38,37990.23,INR,S202,inactive,2024-01-16,,3.52,31x32x2,14,2025-07-31
P1022,Thousand,Grocery>Dairy>Milk,Boat,16509.24,29213.52,INR,S205,active,2023-09-03,,2.47,39x38x3,41,2025-07-28
P1023,Bill,Clothing>Men>Topwear,Dell,40927.82,35562.13,INR,S206,inactive,2024-10-20,2027-03-13,1.84,34x22x7,53,2025-05-05
P1024,Change,Electronics>Mobile>Accessories,,19114.08,38782.86,INR,S207,discontinued,2024-05-28,,1.13,48x35x8,37,2025-08-13
P1025,Attack,Grocery>Dairy>Milk,Nike,35739.34,7474.55,INR,S210,active,2023-12-06,,2.5,47x12x1,67,2026-02-20
P1026,Data,Grocery>Dairy>Milk,Nike,31600.53,41880.48,INR,S209,discontinued,2024-10-06,,2.08,19x7x10,165,2026-03-31
P1027,Store,Grocery>Dairy>Milk,Boat,49870.55,286.19,INR,S209,active,2023-07-25,2026-06-14,4.88,50x17x4,143,2026-01-31
P1028,Dream,Clothing>Men>Topwear,,40877.15,54191.94,INR,S205,inactive,2024-10-25,,3.01,35x35x7,175,2026-01-11
P1029,Half,Electronics>Mobile>Accessories,Nike,14111.17,35665.34,INR,S206,discontinued,2023-07-18,,4.85,13x29x8,35,2026-02-05
P1030,Response,Clothing>Men>Topwear,Boat,1392.09,17408.84,INR,S206,discontinued,2024-09-24,2027-03-13,4.19,38x43x4,38,2025-07-18
P1031,Over,Clothing>Men>Topwear,Nike,46398.39,55667.34,INR,S203,discontinued,2024-11-16,,1.74,11x41x10,147,2025-12-03
P1032,Agree,Electronics>Mobile>Accessories,Nike,7037.59,33768.76,INR,S210,discontinued,2023-04-29,,4.29,46x37x6,27,2025-09-21
P1033,Class,Clothing>Men>Topwear,Boat,30108.67,17318.49,INR,S210,discontinued,2025-03-09,,1.38,44x40x4,57,2025-10-08
P1034,Ground,Grocery>Dairy>Milk,Boat,45295.83,7657.08,INR,S201,discontinued,2024-02-11,,1.54,23x30x4,115,2025-09-16
P1035,World,Grocery>Dairy>Milk,,7297.46,25603.13,INR,S206,discontinued,2023-12-20,,2.32,24x32x4,75,2025-05-18
P1036,Organization,Grocery>Dairy>Milk,,886.43,36979.54,INR,S202,discontinued,2023-06-01,2026-10-30,1.28,26x30x1,81,2025-07-08
P1037,Staff,Clothing>Men>Topwear,,15297.52,62457.74,INR,S207,discontinued,2023-07-12,,0.95,10x17x1,92,2025-08-20
P1038,Low,Grocery>Dairy>Milk,,37377.44,15578.61,INR,S210,inactive,2024-09-03,2026-12-13,4.58,6x12x2,96,2025-11-22
