shipment_id,supplier_id,warehouse_id,shipment_status,shipment_date,delivery_date,delay_days,shipping_cost
SHIP0,S216,W105,in_transit,2025-09-09,,4,2967.68
SHIP1,S204,W105,in_transit,2026-03-29,2026-04-08,2,2766.29
SHIP2,S209,W105,delayed,2025-07-11,2025-07-14,5,9253.21
SHIP3,S203,W108,delayed,2025-05-17,,5,1958.46
SHIP4,S216,W100,delivered,2025-05-29,,2,10938.77
SHIP5,S207,W101,delivered,2026-01-19,2026-01-29,3,7581.29
SHIP6,S201,W109,delivered,2025-08-31,2025-09-01,0,2888.04
SHIP7,S201,W107,delayed,2025-11-22,2025-11-23,3,14347.78
SHIP8,S208,W101,delivered,2025-08-17,2025-08-20,2,2125.37
SHIP9,S208,W106,delivered,2025-07-23,2025-07-25,5,7456.36
SHIP10,S201,W105,in_transit,2026-01-27,2026-02-03,5,5843.74
SHIP11,S202,W102,in_transit,2025-05-01,2025-05-08,2,3158.21
SHIP12,S208,W107,delayed,2025-05-03,2025-05-11,2,16000.95
SHIP13,S219,W102,delayed,2025-07-15,2025-07-16,3,10850.04
SHIP14,S212,W104,in_transit,2026-04-04,2026-04-05,5,11107.84
SHIP15,S211,W101,in_transit,2025-05-23,2025-05-31,2,17844.45
SHIP16,S201,W105,delayed,2025-11-24,2025-12-03,3,17255.79
SHIP17,S205,W106,in_transit,2026-03-22,,3,3652.39
SHIP18,S204,W100,in_transit,2026-03-07,2026-03-08,1,14461.24
SHIP19,S218,W102,in_transit,2025-06-19,2025-06-22,4,17406.82
SHIP20,S205,W106,delayed,2025-05-17,2025-05-25,0,18641.29
SHIP21,S219,W106,in_transit,2026-03-01,2026-03-04,1,10299.44
SHIP22,S203,W106,delivered,2026-03-02,2026-03-10,5,11522.95
SHIP23,S208,W103,delivered,2025-09-18,2025-09-19,3,8312.8
SHIP24,S216,W105,delivered,2026-03-09,2026-03-15,1,7008.24
SHIP25,S204,W109,delivered,2025-09-16,2025-09-25,0,13327.93
SHIP26,S200,W102,delayed,2025-09-09,2025-09-12,2,7152.04
SHIP27,S209,W104,in_transit,2025-05-27,2025-06-06,0,12300.87
SHIP28,S212,W104,in_transit,2026-02-15,2026-02-23,0,15176.77
SHIP29,S208,W103,delivered,2025-06-19,2025-06-26,0,8064.33
SHIP30,S213,W108,in_transit,2025-09-06,2025-09-13,0,2291.08
SHIP31,S213,W100,delivered,2025-07-22,2025-07-30,2,5564.32
SHIP32,S216,W107,delayed,2025-06-30,,3,6371.67
SHIP33,S206,W109,delivered,2026-04-11,,1,11039.92
SHIP34,S201,W104,delayed,2025-10-13,2025-10-17,5,19852.57
SHIP35,S201,W107,delayed,2025-11-09,2025-11-12,0,5551.06
SHIP36,S206,W105,delivered,2025-11-04,2025-11-14,4,15238.77
SHIP37,S207,W101,delivered,2025-07-31,2025-08-01,0,10329.28
SHIP38,S202,W100,in_transit,2026-03-20,2026-03-26,4,19678.83
SHIP39,S203,W108,delayed,2025-12-07,2025-12-15,2,6215.49
SHIP40,S215,W109,delayed,2025-09-03,2025-09-04,4,18582.06
SHIP41,S217,W109,in_transit,2025-09-10,2025-09-13,5,11775.91
SHIP42,S216,W107,in_transit,2025-09-08,2025-09-09,1,9882.17
SHIP43,S210,W104,delivered,2025-10-02,2025-10-06,5,18019.91
SHIP44,S216,W108,delayed,2026-02-09,2026-02-11,0,10149.37
SHIP45,S210,W102,delivered,2025-12-24,2025-12-28,3,11999.12
SHIP46,S215,W107,delayed,2025-11-25,2025-12-01,0,10169.8
SHIP47,S219,W107,delivered,2025-12-24,2025-12-28,3,1511.56
SHIP48,S215,W109,delayed,2025-09-11,2025-09-17,2,16777.06
SHIP49,S206,W100,in_transit,2025-12-10,2025-12-16,0,15914.12
SHIP50,S204,W104,delivered,2025-08-22,2025-08-31,2,1283.37
SHIP51,S216,W106,delayed,2025-07-16,2025-07-19,1,9967.8
SHIP52,S208,W109,delayed,2026-01-20,,4,15876.05
SHIP53,S214,W100,in_transit,2025-09-17,2025-09-19,0,3747.2
SHIP54,S218,W107,in_transit,2025-05-19,2025-05-29,4,3423.39
SHIP55,S205,W105,delivered,2025-11-05,2025-11-11,4,16348.88
SHIP56,S212,W109,delayed,2025-10-18,2025-10-21,3,5889.18
SHIP57,S201,W105,in_transit,2026-01-07,2026-01-12,3,11372.27
