transaction_id,product_id,warehouse_id,supplier_id,transaction_type,quantity,unit_price,total_price,transaction_timestamp,channel,reference_id
T0,P1286,W109,S215,TRANSFER,94,3499.81,328982.14,2025-12-18 15:29:27.628837,offline,REF1039
T1,P1238,W106,S214,TRANSFER,93,26498.37,2464348.4099999997,2026-03-18 03:50:00.893019,online,REF2059
T2,P1149,W105,S217,OUT,19,25466.12,483856.27999999997,2026-01-30 23:40:30.185694,offline,REF7668
T3,P1182,W102,S202,RETURN,76,49444.58,3757788.08,2025-04-23 06:46:35.608222,internal,REF5590
T4,P1107,W103,S209,INVALID,77,32781.5,2524175.5,2025-12-03 12:29:22.781312,offline,REF2132
T5,P1024,W104,,INVALID,37,42716.15,1580497.55,2026-02-03 17:18:13.395675,online,REF9417
T6,P1236,W100,S204,IN,58,48225.69,2797090.02,2025-11-06 05:05:04.273231,internal,REF8749
T7,P1095,W104,,INVALID,68,31415.66,2136264.88,2025-07-06 06:04:20.158697,internal,REF8340
T8,P1367,W103,S215,TRANSFER,22,14344.49,315578.77999999997,2025-12-20 22:53:26.267262,online,REF1830
T9,P1281,W108,S210,RETURN,50,40207.88,2010393.9999999998,2026-03-21 16:55:36.447547,internal,REF9676
T10,P1331,W103,S204,INVALID,13,29772.43,387041.59,2025-10-14 00:06:42.057678,online,REF6185
T11,P1374,W109,S201,RETURN,10,37867.94,378679.4,2026-02-02 18:16:57.104721,internal,REF2681
T12,P1401,W108,,IN,63,44635.07,2812009.41,2025-07-23 17:59:21.422765,online,REF3548
T13,P1098,W108,S218,TRANSFER,82,27950.71,2291958.2199999997,2025-12-24 23:31:11.105344,internal,REF4309
T14,P1301,W106,,RETURN,61,27287.4,1664531.4000000001,2025-11-22 20:14:11.808132,online,REF9355
T15,P1411,W104,S208,OUT,9,16985.28,152867.52,2025-06-06 19:48:23.982597,online,REF4217
T16,P1430,W100,S209,TRANSFER,34,6884.21,234063.14,2025-10-06 22:33:47.646840,offline,REF6316
T17,P1002,W108,,TRANSFER,69,27228.05,1878735.45,2025-06-09 03:00:48.626343,internal,REF3645
T18,P1107,W106,S207,OUT,80,36479.79,2918383.2,2025-07-27 18:01:24.860843,offline,REF5114
T19,P1007,W103,,TRANSFER,41,34385.11,1409789.51,2025-05-20 00:44:36.922154,internal,REF4291
T20,P1480,W107,S208,OUT,75,13282.7,996202.5,2026-02-06 13:04:58.239831,internal,REF2577
T21,P1153,W109,S212,TRANSFER,84,22675.58,1904748.7200000002,2026-02-19 00:27:41.125170,offline,REF7517
T22,P1443,W104,,OUT,6,21264.3,127585.79999999999,2025-04-23 01:31:42.616364,online,REF8861
T23,P1183,W105,,INVALID,90,39597.56,3563780.4,2025-10-18 07:06:08.840008,online,REF4542
T24,P1018,W107,,IN,98,41251.09,4042606.82,2025-09-27 07:10:18.209718,internal,REF5595
T25,P1035,W105,,OUT,7,41818.88,292732.16,2025-09-24 18:50:48.550479,internal,REF1197
T26,P1224,W107,S213,INVALID,32,16358.44,523470.08,2025-10-03 13:08:02.043207,offline,REF2175
T27,P1132,W108,S204,IN,3,16140.0,48420.0,2025-09-30 21:39:07.023879,online,REF3893
T28,P1193,W104,S217,TRANSFER,69,13707.25,945800.25,2025-05-08 10:32:33.711504,internal,REF9580
T29,P1371,W108,S202,OUT,13,23935.31,311159.03,2025-12-29 02:02:54.392392,online,REF2183
T30,P1372,W104,S201,INVALID,33,40891.48,1349418.84,2025-09-11 18:04:10.484271,internal,REF5671
T31,P1101,W102,,INVALID,60,6625.19,397511.39999999997,2025-11-18 04:22:52.461071,offline,REF6835
T32,P1242,W104,S209,RETURN,58,48176.36,2794228.88,2025-08-23 06:39:49.927531,online,REF1523
T33,P1029,W106,S209,OUT,83,8819.27,731999.41,2026-03-29 01:27:43.701515,online,REF1851
T34,P1408,W103,S205,OUT,27,41959.08,1132895.1600000001,2026-01-04 09:45:13.108164,internal,REF1210
T35,P1458,W108,S213,INVALID,79,17718.14,1399733.06,2026-01-31 06:15:17.879520,online,REF4758
T36,P1384,W106,,OUT,3,30089.31,90267.93000000001,2025-12-24 23:35:13.134633,internal,REF5923
T37,P1305,W103,,RETURN,41,25497.19,1045384.7899999999,2025-12-19 07:33:06.567354,online,REF1503
T38,P1100,W105,S209,TRANSFER,61,33092.25,2018627.25,2025-05-18 13:24:09.753820,internal,REF1339
T39,P1258,W102,,INVALID,32,41863.24,1339623.68,2025-12-14 07:47:54.260618,internal,REF7563
T40,P1383,W104,S203,INVALID,68,6380.21,433854.28,2025-09-16 23:56:23.304078,offline,REF6596
T41,P1080,W107,,TRANSFER,46,6452.93,296834.78,2025-11-06 07:51:14.001057,internal,REF8459
T42,P1251,W107,S210,RETURN,55,33147.47,1823110.85,2025-06-23 11:57:49.459851,internal,REF8913
T43,P1406,W106,S215,IN,94,49166.39,4621640.66,2025-09-17 22:23:23.502065,online,REF8686
T44,P1265,W102,S214,TRANSFER,45,1315.44,59194.8,2025-04-30 08:59:58.466507,online,REF4240
T45,P1048,W103,S213,TRANSFER,11,48090.74,528998.14,2026-02-26 07:12:48.831028,offline,REF1111
T46,P1222,W106,,OUT,12,29793.58,357522.96,2025-10-07 15:22:01.541828,offline,REF8301
T47,P1337,W100,S214,IN,62,46995.79,2913738.98,2025-06-04 19:38:42.106359,online,REF8310
T48,P1203,W109,,IN,72,3999.22,287943.83999999997,2025-11-02 19:35:33.127544,offline,REF3092
T49,P1348,W104,,RETURN,77,2561.62,197244.74,2026-01-16 13:17:28.056439,internal,REF8320
T50,P1294,W101,S212,TRANSFER,89,26272.17,2338223.13,2025-11-05 13:54:36.680119,offline,REF5415
T51,P1133,W100,S218,IN,50,3283.38,164169.0,2025-04-27 17:23:19.808535,offline,REF6397
T52,P1074,W105,,OUT,27,41531.99,1121363.73,2025-11-06 20:30:50.565444,online,REF8487
T53,P1184,W104,S202,OUT,17,39966.48,679430.16,2026-03-14 01:18:59.410099,online,REF3340
T54,P1292,W103,,IN,38,49606.43,1885044.34,2025-12-31 12:25:03.977867,online,REF3481
T55,P1478,W103,S210,RETURN,23,33575.54,772237.42,2025-08-07 16:18:07.086808,offline,REF1034
T56,P1123,W101,S200,IN,11,35795.79,393753.69,2025-09-30 05:07:02.752886,online,REF2198
T57,P1408,W105,S201,INVALID,58,5939.38,344484.04,2025-05-11 15:41:57.774109,offline,REF1118
T58,P1124,W103,,INVALID,58,46412.44,2691921.52,2025-06-04 03:38:08.250669,offline,REF9738
T59,P1284,W104,S212,IN,85,48556.68,4127317.8,2025-08-04 14:18:58.436908,offline,REF6296
T60,P1363,W103,,IN,37,49145.42,1818380.54,2025-06-06 19:35:38.968415,offline,REF2662
T61,P1186,W105,S205,TRANSFER,52,3817.38,198503.76,2025-05-22 16:05:46.455126,offline,REF8677
T62,P1036,W105,,TRANSFER,20,11233.33,224666.6,2025-11-27 18:29:02.003502,offline,REF9497
T63,P1251,W102,S217,RETURN,11,46202.7,508229.69999999995,2025-05-01 06:23:34.354048,offline,REF2529
T64,P1186,W104,S218,INVALID,53,45652.7,2419593.0999999996,2026-02-22 17:42:24.237647,offline,REF4660
